id,title,poster_path
18148,Tokyo Story,/g2YbTYKpY7N2yDSk7BfXZ18I5QV.jpg
620683,My Mom Is a Character 3,/zw77BFPGJ73Lig8GwRzYj1XHq53.jpg
68718,Django Unchained,/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg
791373,Zack Snyder's Justice League,/tnAuB8q5vv7Ax9UAEje5Xi4BXik.jpg
133919,Scenes from a Marriage,/ArKEdvJesIktFX8OAhcdKAOLl6I.jpg
426,Vertigo,/15uOEfqBNTVtDUT7hGBVCka0rZz.jpg
20941,Innocent Voices,/hvwB4LdMCLzqXsk5ZjR77vzPkGk.jpg
422,8½,/tMWvzPsvpmlklcPVjVLpUWgZHua.jpg
1422,The Departed,/nT97ifVT2J1yMQmeq20Qblg61T.jpg
872,Singin' in the Rain,/w03EiJVHP8Un77boQeE7hg9DVdU.jpg
289,Casablanca,/5K7cOHoay2mZusSLezBOY0Qxh8a.jpg
111,Scarface,/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg
1398,Stalker,/rem87AyEochEuhn9VvAGoMQpigz.jpg
517814,Capernaum,/mFnfTVADj8yOxwzprYOmTPselk8.jpg
475557,Joker,/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg
55823,The Great War,/aDvKsUb5y7GMNMz2HHNtuGww5t8.jpg
606856,Togo,/921q4gPNN4J6UxvKaw6SCNBe3F8.jpg
531428,Portrait of a Lady on Fire,/2LquGwEhbg3soxSCs9VNyh5VJd9.jpg
398818,Call Me by Your Name,/mZ4gBdfkhP9tvLH1DO4m4HYtiyi.jpg
399106,Piper,/rfEkkVzmrMYqGezNLl02mVyJCP2.jpg
103,Taxi Driver,/ekstpH614fwDX8DUln1a2Opz0N8.jpg
489,Good Will Hunting,/bABCBKYBK7A5G1x0FzoeoNfuj2.jpg
458220,Palmer,/xSDdRAjxKAGi8fUBLOqSrBhJmF0.jpg
666,Central Station,/zJvp7XjQ2LhPbDVYhFXyucs40vR.jpg
348,Alien,/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg
81481,Silenced,/mbMp0oIFmYnw0i5gzRoKt8cH5ve.jpg
762975,Purple Hearts,/4JyNWkryifWbWXJyxcWh3pVya6N.jpg
20532,Sansho the Bailiff,/ffMCNNYiTCdkhMQoNSX17urqWiz.jpg
19,Metropolis,/pxbGZewX327IbTvrCVRJgcLJTSQ.jpg
406997,Wonder,/sONh3LYGFcVDTy8pm1tbSOB13Li.jpg
470044,The Hate U Give,/2icwBom0t5nmOuZI9FVXF3gkMK0.jpg
600354,The Father,/uxWXW1YYQENSv7OzHB4Hds0bK3b.jpg
20914,My Friends,/8Pm8SLjq2UHCwisd56ipHtzvZI1.jpg
508442,Soul,/hm58Jw4Lw8OIeECIq5qyPYhAeRJ.jpg
37165,The Truman Show,/vuza0WqY239yBXOadKlGwJsZJFE.jpg
600,Full Metal Jacket,/kMKyx1k8hWWscYFnPbnxxN4Eqo4.jpg
755812,"Miraculous World: New York, United HeroeZ",/9YbyvcrHmY2SVbdfXpb8mC4Fy0g.jpg
500,Reservoir Dogs,/xi8Iu6qyTfyZVDVy60raIOYJJmk.jpg
555604,Guillermo del Toro's Pinocchio,/vx1u0uwxdlhV2MUzj4VlcMB0N6m.jpg
614,Wild Strawberries,/iyTD2QnySNMPUPE3IedZQipSWfz.jpg
2457,Children of Paradise,/yiy9stl1jjVhW44ypkWMFDT8Ix3.jpg
411088,The Invisible Guest,/fptnZJbLzKUHeNlYrAynbyoL5YJ.jpg
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,/7SixLzxcqezkZEYU8pcHZgbkmjp.jpg
100,"Lock, Stock and Two Smoking Barrels",/wt2TRBmFmBn5M5MBcPTwovlREaB.jpg
792307,Poor Things,/kCGlIMHnOm8JPXq3rXM6c5wMxcT.jpg
439,La Dolce Vita,/11hMHhThUb53fHoDDyn5LUsw0Z.jpg
872585,Oppenheimer,/ptpr0kGAckfQkJeJIt8st5dglvd.jpg
38288,I corti,/y3hEulMYSTQuvmI5jBTyWrcvJQX.jpg
996,Double Indemnity,/kkfKLeOTo7RjS9TxHKpknlL7huS.jpg
532067,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,/fv5BgcfkpWh3V6Pb1qVlXESBOdl.jpg
626332,Flamin' Hot,/a7KyFMPXj0iY4EoLq1PIGU1WJPw.jpg
664767,Mortal Kombat Legends: Scorpion's Revenge,/4VlXER3FImHeFuUjBShFamhIp9M.jpg
518068,Along with the Gods: The Last 49 Days,/9BnqBHFGDv3WlCPB2qQwzAWdy7y.jpg
843,In the Mood for Love,/iYypPT4bhqXfq1b6EnmxvRt6b2Y.jpg
9702,Bound by Honor,/gvP6R6juhe2IpCG7QGDgjyUvm0g.jpg
705,All About Eve,/6numIZH6uR3NlJgY9m7nGH0jhs.jpg
280,Terminator 2: Judgment Day,/5M0j0B18abtBI5gi2RhfjjurTqb.jpg
655,"Paris, Texas",/7G6ea5djDvCxfqfoMAX8479T4UB.jpg
548,Rashomon,/vL7Xw04nFMHwnvXRFCmYYAzMUvY.jpg
640344,Me Against You: Mr. S's Vendetta,/sfeQTIRkJjWt8IPDSBcPqkrcaas.jpg
472454,Ayla: The Daughter of War,/dETDsjBNtWyzdrqi0DFSielMWk5.jpg
239,Some Like It Hot,/hVIKyTK13AvOGv7ICmJjK44DTzp.jpg
550776,Believe Me: The Abduction of Lisa McVey,/qbJEzCzEKDHPZDiRvSSBiYEKaAH.jpg
103663,The Hunt,/jkixsXzRh28q3PCqFoWcf7unghT.jpg
46738,Incendies,/32AMaBXEKALH0x5lvEGxjqjDSBQ.jpg
11878,Yojimbo,/tN7kYPjRhDolpui9sc9Eq9n5b2O.jpg
38,Eternal Sunshine of the Spotless Mind,/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg
12445,Harry Potter and the Deathly Hallows: Part 2,/c54HpQmuwXjHq2C9wmoACjxoom3.jpg
24382,Big Deal on Madonna Street,/f5OxD8Nl0pR3DcYHtYhHRfpsmjl.jpg
663558,New Gods: Nezha Reborn,/sezNkk9HifNJW3pC5SU2XqMKgSJ.jpg
146233,Prisoners,/jsS3a3ep2KyBVmmiwaz3LvK49b1.jpg
406,La Haine,/kZ48vGGgH0dWNGOAhWRLoe1jOLN.jpg
832,M,/slsS6jT6SXjcTPOrsFcLIrHboXA.jpg
