adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/wyvUmyzqGOBDyqLHRSukGDjI7bH.jpg,[18],50014,en,The Help,"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.",58.392,/3kmfoWWEc9Vtyuaf9v5VipRgdjx.jpg,2011-08-09,The Help,False,8.204,7764
False,/txKj2q2bBUl7KqPkcSx19qB7Ylw.jpg,"[18, 53]",26451,it,Indagine su un cittadino al di sopra di ogni sospetto,"Rome, Italy. After committing a heinous crime, a senior police officer exposes evidence incriminating him because his moral commitment prevents him from circumventing the law and the social order it protects.",12.6,/vPTZwlq1IC4o1DCsEZEl2uGljzm.jpg,1970-10-16,Investigation of a Citizen Above Suspicion,False,8.203,724
False,/ecvy2kMxsJ60ej52beZ0F8EOGkL.jpg,"[18, 53, 9648]",11324,en,Shutter Island,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",71.272,/4GDy0PHYX3VRXUtwK5ysFbg3kEx.jpg,2010-02-14,Shutter Island,False,8.2,22960
False,/xBDE2d6HM1aBKQRu4IT7SfPD9fs.jpg,"[18, 9648, 878]",1124,en,The Prestige,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.",51.559,/bdN3gXuIZYaJP7ftKK2sU0nPtEA.jpg,2006-10-19,The Prestige,False,8.202,15177
False,/6s2BqtDvp1BMiP70zCDU5OW6hMy.jpg,"[14, 18]",490,sv,Det sjunde inseglet,"When disillusioned Swedish knight Antonius Block returns home from the Crusades to find his country in the grips of the Black Death, he challenges Death to a chess match for his life. Tormented by the belief that God does not exist, Block sets off on a journey, meeting up with traveling players Jof and his wife, Mia, and becoming determined to evade Death long enough to commit one redemptive act while he still lives.",25.874,/j6z3c6dGXtPHUATJX8J7Y70mM1S.jpg,1957-02-16,The Seventh Seal,False,8.196,2792
False,/yQIBS8B9l2qXoPoPtxSXvH7CfoT.jpg,"[18, 36, 10752]",324786,en,Hacksaw Ridge,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",127.853,/wuz8TjCIWR2EVVMuEfBnQ1vuGS3.jpg,2016-10-07,Hacksaw Ridge,False,8.192,13065
False,/7S7PE3vK9Eh5uzCYBDGk5qTJeYW.jpg,"[18, 80, 53]",629,en,The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",44.394,/99X2SgyFunJFXGAYnDv3sb9pnUD.jpg,1995-07-19,The Usual Suspects,False,8.189,9885
False,/q2CtXYjp9IlnfBcPktNkBPsuAEO.jpg,"[9648, 53]",77,en,Memento,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",38.832,/yuNs09hvpHVU1cBTCAk9zxsL2oW.jpg,2000-10-11,Memento,False,8.187,14133
False,/dmkFQ2f6vb8fR7kRgjlsG7h7QiG.jpg,"[878, 12]",313106,en,Doctor Who: The Day of the Doctor,"In 2013, something terrible is awakening in London's National Gallery; in 1562, a murderous plot is afoot in Elizabethan England; and somewhere in space an ancient battle reaches its devastating conclusion. All of reality is at stake as the Doctor's own dangerous past comes back to haunt him.",16.062,/yxLra5R61s5J4M5L3mqOY42K5md.jpg,2013-11-23,Doctor Who: The Day of the Doctor,False,8.185,718
False,/yjfwNSDljAKsuHwwE34xjlY3tQj.jpg,"[12, 16, 18, 10751, 14, 10749]",476292,ja,さよならの朝に約束の花をかざろう,"Maquia is a member of a special race called the Iorph who can live for hundreds of years. However, Maquia has always felt lonely despite being surrounded by her people, as she was orphaned from a young age. She daydreams about the outside world, but dares not travel from her home due to the warnings of the clan's chief.  One day the kingdom of Mezarte invades her homeland. They already have what is left of the giant dragons, the Renato, under their control, and now their king wishes to add the immortality to his bloodline.  They ravage the Iorph homeland and kill most of its inhabitants. Caught in the midst of the attack, Maquia is carried off by one of the Renato. It soon dies, and she is left deserted in a forest, now truly alone save for the cries of a single baby off in the distance. Maquia finds the baby in a destroyed village and decides to raise him as her own, naming him Ariel. Although she knows nothing of the human world, how to raise a child that ages much faster than her.",31.637,/hL3NqRE2ccR4Y2sYSJTrmalRjrz.jpg,2018-02-24,Maquia: When the Promised Flower Blooms,False,8.2,583
False,/9guoVF7zayiiUq5ulKQpt375VIy.jpg,"[16, 28, 14, 12]",592350,ja,僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,"Class 1-A visits Nabu Island where they finally get to do some real hero work. The place is so peaceful that it's more like a vacation … until they're attacked by a villain with an unfathomable Quirk! His power is eerily familiar, and it looks like Shigaraki had a hand in the plan. But with All Might retired and citizens' lives on the line, there's no time for questions. Deku and his friends are the next generation of heroes, and they're the island's only hope.",40.545,/zGVbrulkupqpbwgiNedkJPyQum4.jpg,2019-12-20,My Hero Academia: Heroes Rising,False,8.183,1103
False,/pyviqHJMXSxo7R43lkZpSrvkQpm.jpg,"[27, 10402, 9648]",92060,en,Michael Jackson's Thriller,A night at the movies turns into a nightmare when Michael and his date are attacked by a horde of bloody-thirsty zombies.,17.739,/dYHGoPMkZMVuBA4EydmDQMo1EEv.jpg,1983-11-14,Michael Jackson's Thriller,False,8.183,630
